"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"1" 1 99999 7521 2 0 7521 1 2 0 1 0 1 42911 7087 0 7087 42914 1 49999 50000
"2" 2 99998 62696 4 0.74345 7521 1 2 0 2 0 2 42911 7086 0 7086 42914 2 49999 49999
"3" 3 99997 60719 6 0.55767 62696 2 4 0 3 0 3 42910 7086 0 7086 42913 3 49999 49998
"4" 4 99996 33555 8 1.1174 62696 2 4 0 4 0 4 42909 7086 0 7086 42912 4 49999 49997
"5" 5 99995 36536 10 1.1786 33555 4 8 0 4 1 5 42910 7084 0 7085 42912 5 49999 49996
"6" 6 99994 88079 12 1.1968 7521 1 2 0 5 1 5 42910 7084 1 7084 42911 6 49999 49995
"7" 7 99993 14349 14 1.221 88079 6 12 0 6 1 6 42910 7083 1 7083 42911 7 49999 49994
"8" 8 99992 704 16 1.1677 14349 7 14 0 7 1 7 42909 7083 1 7083 42910 8 49999 49993
"9" 9 99991 29027 18 0.69233 704 8 16 0 8 1 8 42908 7083 1 7083 42909 9 49999 49992
"10" 10 99990 45228 20 0.3957 29027 9 18 0 9 1 9 42907 7083 1 7083 42908 10 49999 49991
"11" 11 99989 40280 22 1.0484 704 8 16 0 10 1 10 42906 7083 1 7083 42907 11 49999 49990
"12" 12 99988 87845 24 0.72646 40280 11 22 0 11 1 11 42905 7083 1 7083 42906 12 49999 49989
"13" 13 99987 43782 26 0.9385 40280 11 22 0 12 1 12 42904 7083 1 7083 42905 13 49999 49988
"14" 14 99986 43410 28 1.0187 87845 12 24 0 13 1 13 42903 7083 1 7083 42904 14 49999 49987
"15" 15 99985 7780 30 1.0842 40280 11 22 0 14 1 14 42903 7082 1 7082 42904 15 49999 49986
"16" 16 99984 54138 32 1.318 7780 15 30 0 15 1 15 42902 7082 1 7082 42903 16 49999 49985
"17" 17 99983 29031 34 0.97858 54138 16 32 0 16 1 16 42901 7082 1 7082 42902 17 49999 49984
"18" 18 99982 95796 36 1.3243 62696 2 4 0 17 1 17 42900 7082 1 7082 42901 18 49999 49983
"19" 19 99981 62076 38 1.4157 95796 18 36 0 18 1 18 42899 7082 1 7082 42900 19 49999 49982
"20" 20 99980 53134 40 0.94705 62076 19 38 0 19 1 19 42899 7081 1 7081 42900 20 49999 49981
"21" 21 99979 87829 42 0.44805 53134 20 40 0 20 1 20 42898 7081 1 7081 42899 21 49999 49980
"22" 22 99978 65244 44 0.69472 53134 20 40 0 21 1 21 42897 7081 1 7081 42898 22 49999 49979
"23" 23 99977 67888 46 0.77114 65244 22 44 0 22 1 22 42896 7081 1 7081 42897 23 49999 49978
"24" 24 99976 6518 48 0.86333 87829 21 42 0 23 1 23 42895 7081 1 7081 42896 24 49999 49977
"25" 25 99975 65046 50 0.56644 6518 24 48 0 24 1 24 42895 7080 1 7080 42896 25 49999 49976
"26" 26 99974 93143 52 0.97238 65046 25 50 0 25 1 25 42894 7080 1 7080 42895 26 49999 49975
"27" 27 99973 40284 54 0.63471 93143 26 52 0 26 1 26 42893 7080 1 7080 42894 27 49999 49974
